2025-09-30 17:27:40 | INFO | start checking the installed firewall
2025-10-02 12:30:47 | INFO | start checking firewall status
2025-10-02 12:30:47 | INFO | start checking the installed antivirus
2025-10-02 12:30:47 | INFO | antivirus isinstalled
2025-10-02 12:36:13 | INFO | start checking antivirus status
2025-10-02 12:37:12 | INFO | start checking antivirus status
2025-10-02 12:37:12 | ERROR | Ошибка при проверке антивируса: cannot access local variable 'lines' where it is not associated with a value
2025-10-02 12:37:34 | INFO | start checking antivirus status
2025-10-02 12:37:34 | ERROR | Ошибка при проверке антивируса: cannot access local variable 'lines' where it is not associated with a value
2025-10-02 12:37:35 | INFO | start checking antivirus status
2025-10-02 12:37:35 | ERROR | Ошибка при проверке антивируса: cannot access local variable 'lines' where it is not associated with a value
2025-10-02 12:38:39 | INFO | start checking antivirus status
2025-10-02 12:39:15 | INFO | start checking antivirus status
2025-10-02 12:39:47 | INFO | start checking antivirus status
2025-10-02 12:45:00 | INFO | start checking antivirus status
2025-10-02 12:45:11 | INFO | start checking antivirus status
2025-10-02 12:45:14 | INFO | internet connection check has begun
2025-10-02 12:45:14 | INFO | device is connected to the internet
2025-10-02 12:45:14 | INFO | start checking the installed firewall
2025-10-02 12:45:14 | INFO | firewall isinstalled
2025-10-02 12:45:14 | INFO | start checking firewall status
2025-10-02 12:45:14 | INFO | start checking the installed antivirus
2025-10-02 12:45:14 | INFO | antivirus isinstalled
2025-10-02 12:45:49 | INFO | internet connection check has begun
2025-10-02 12:45:49 | INFO | device is connected to the internet
2025-10-02 12:45:49 | INFO | start checking the installed firewall
2025-10-02 12:45:49 | INFO | firewall isinstalled
2025-10-02 12:45:49 | INFO | start checking firewall status
2025-10-02 12:45:49 | INFO | start checking the installed antivirus
2025-10-02 12:45:49 | INFO | antivirus isinstalled
2025-10-02 12:45:49 | INFO | start checking antivirus status
2025-10-02 12:46:02 | INFO | internet connection check has begun
2025-10-02 12:46:02 | INFO | device is connected to the internet
2025-10-02 12:46:02 | INFO | start checking the installed firewall
2025-10-02 12:46:02 | INFO | firewall isinstalled
2025-10-02 12:46:02 | INFO | start checking firewall status
2025-10-02 12:46:02 | INFO | start checking the installed antivirus
2025-10-02 12:46:02 | INFO | antivirus isinstalled
2025-10-02 12:46:02 | INFO | start checking antivirus status
2025-10-02 12:46:26 | INFO | internet connection check has begun
2025-10-02 12:46:26 | INFO | device is connected to the internet
2025-10-02 12:46:26 | INFO | start checking the installed firewall
2025-10-02 12:46:26 | INFO | firewall isinstalled
2025-10-02 12:46:26 | INFO | start checking firewall status
2025-10-02 12:46:26 | INFO | start checking the installed antivirus
2025-10-02 12:46:26 | INFO | antivirus isinstalled
2025-10-02 12:46:26 | INFO | start checking antivirus status
2025-10-02 12:46:32 | INFO | internet connection check has begun
2025-10-02 12:46:32 | INFO | device is connected to the internet
2025-10-02 12:46:32 | INFO | start checking the installed firewall
2025-10-02 12:46:32 | INFO | firewall isinstalled
2025-10-02 12:46:32 | INFO | start checking firewall status
2025-10-02 12:46:32 | INFO | start checking the installed antivirus
2025-10-02 12:46:32 | INFO | antivirus isinstalled
2025-10-02 12:46:32 | INFO | start checking antivirus status
2025-10-02 12:46:55 | INFO | internet connection check has begun
2025-10-02 12:46:55 | INFO | device is connected to the internet
2025-10-02 12:46:55 | INFO | start checking the installed firewall
2025-10-02 12:46:55 | INFO | firewall isinstalled
2025-10-02 12:46:55 | INFO | start checking firewall status
2025-10-02 12:46:55 | INFO | start checking the installed antivirus
2025-10-02 12:46:55 | INFO | antivirus isinstalled
2025-10-02 12:46:55 | INFO | start checking antivirus status
2025-10-02 12:47:00 | INFO | internet connection check has begun
2025-10-02 12:47:00 | INFO | device is connected to the internet
2025-10-02 12:47:00 | INFO | start checking the installed firewall
2025-10-02 12:47:00 | INFO | firewall isinstalled
2025-10-02 12:47:00 | INFO | start checking firewall status
2025-10-02 12:47:00 | INFO | start checking the installed antivirus
2025-10-02 12:47:00 | INFO | antivirus isinstalled
2025-10-02 12:47:00 | INFO | start checking antivirus status
2025-10-02 12:48:26 | INFO | internet connection check has begun
2025-10-02 12:48:26 | INFO | device is connected to the internet
2025-10-02 12:48:26 | INFO | start checking the installed firewall
2025-10-02 12:48:26 | INFO | firewall isinstalled
2025-10-02 12:48:26 | INFO | start checking firewall status
2025-10-02 12:48:26 | INFO | start checking the installed antivirus
2025-10-02 12:48:26 | INFO | antivirus isinstalled
2025-10-02 12:48:26 | INFO | start checking antivirus status
2025-10-02 13:31:11 | INFO | internet connection check has begun
2025-10-02 13:31:11 | INFO | device is connected to the internet
2025-10-02 13:31:11 | INFO | start checking the installed firewall
2025-10-02 13:31:11 | INFO | firewall isinstalled
2025-10-02 13:31:11 | INFO | start checking firewall status
2025-10-02 13:31:12 | INFO | start checking the installed antivirus
2025-10-02 13:31:12 | INFO | antivirus isinstalled
2025-10-02 13:31:12 | INFO | start checking antivirus status
2025-10-02 13:31:52 | INFO | internet connection check has begun
2025-10-02 13:31:52 | INFO | device is connected to the internet
2025-10-02 13:31:52 | INFO | start checking the installed firewall
2025-10-02 13:31:52 | INFO | firewall isinstalled
2025-10-02 13:31:52 | INFO | start checking firewall status
2025-10-02 13:31:52 | INFO | start checking the installed antivirus
2025-10-02 13:31:52 | INFO | antivirus isinstalled
2025-10-02 13:31:52 | INFO | start checking antivirus status
2025-10-02 13:33:12 | INFO | internet connection check has begun
2025-10-02 13:33:12 | INFO | device is connected to the internet
2025-10-02 13:33:12 | INFO | start checking the installed firewall
2025-10-02 13:33:12 | INFO | firewall isinstalled
2025-10-02 13:33:12 | INFO | start checking firewall status
2025-10-02 13:33:12 | INFO | start checking the installed antivirus
2025-10-02 13:33:12 | INFO | antivirus isinstalled
2025-10-02 13:33:12 | INFO | start checking antivirus status
2025-10-02 13:33:44 | INFO | internet connection check has begun
2025-10-02 13:33:44 | INFO | device is connected to the internet
2025-10-02 13:33:44 | INFO | start checking the installed firewall
2025-10-02 13:33:44 | INFO | firewall isinstalled
2025-10-02 13:33:44 | INFO | start checking firewall status
2025-10-02 13:33:45 | INFO | start checking the installed antivirus
2025-10-02 13:33:45 | INFO | antivirus isinstalled
2025-10-02 13:33:45 | INFO | start checking antivirus status
2025-10-02 13:34:35 | INFO | internet connection check has begun
2025-10-02 13:34:35 | INFO | device is connected to the internet
2025-10-02 13:34:35 | INFO | start checking the installed firewall
2025-10-02 13:34:35 | INFO | firewall isinstalled
2025-10-02 13:34:35 | INFO | start checking firewall status
2025-10-02 13:34:35 | INFO | start checking the installed antivirus
2025-10-02 13:34:35 | INFO | antivirus isinstalled
2025-10-02 13:34:35 | INFO | start checking antivirus status
2025-10-02 13:35:37 | INFO | internet connection check has begun
2025-10-02 13:35:37 | INFO | device is connected to the internet
2025-10-02 13:35:37 | INFO | start checking the installed firewall
2025-10-02 13:35:37 | INFO | firewall isinstalled
2025-10-02 13:35:37 | INFO | start checking firewall status
2025-10-02 13:35:37 | INFO | start checking the installed antivirus
2025-10-02 13:35:37 | INFO | antivirus isinstalled
2025-10-02 13:35:37 | INFO | start checking antivirus status
2025-10-02 14:15:01 | INFO | internet connection check has begun
2025-10-02 14:15:01 | INFO | device is connected to the internet
2025-10-02 14:15:01 | INFO | start checking the installed firewall
2025-10-02 14:15:01 | INFO | firewall isinstalled
2025-10-02 14:15:01 | INFO | start checking firewall status
2025-10-02 14:15:01 | INFO | start checking the installed antivirus
2025-10-02 14:15:01 | INFO | antivirus isinstalled
2025-10-02 14:15:01 | INFO | start checking antivirus status
2025-10-02 14:25:37 | INFO | internet connection check has begun
2025-10-02 14:25:37 | INFO | device is connected to the internet
2025-10-02 14:25:37 | INFO | start checking the installed firewall
2025-10-02 14:25:37 | INFO | firewall isinstalled
2025-10-02 14:25:38 | INFO | internet connection check has begun
2025-10-02 14:25:38 | INFO | device is connected to the internet
2025-10-02 14:25:38 | INFO | start checking the installed firewall
2025-10-02 14:25:38 | INFO | firewall isinstalled
2025-10-02 14:25:38 | INFO | start checking firewall status
2025-10-02 14:25:39 | INFO | start checking the installed antivirus
2025-10-02 14:25:39 | INFO | antivirus isinstalled
2025-10-02 14:25:39 | INFO | start checking antivirus status
2025-10-02 17:57:07 | INFO | internet connection check has begun
2025-10-02 17:57:07 | INFO | device is connected to the internet
2025-10-02 17:57:07 | INFO | start checking the installed firewall
2025-10-02 17:57:07 | INFO | firewall isinstalled
2025-10-02 17:57:07 | INFO | start checking firewall status
2025-10-02 17:57:07 | INFO | start checking the installed antivirus
2025-10-02 17:57:07 | INFO | antivirus isinstalled
2025-10-02 17:57:07 | INFO | start checking antivirus status
